name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Port of Spain, Trinidad, Trinidad And Tobago",01/01/2020,87.8,73,79.5,91.4,73,81.2,69.9,74.1,0,0,0,17.2,110.6,1013.1,30.9,6.8,129.8,11.3,5,2020-01-01T06:24:08,2020-01-01T17:54:51,0.21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"AT041,78970011634,TTPP,remote"
"Port of Spain, Trinidad, Trinidad And Tobago",02/01/2020,88,73.4,80,93.2,73.4,82.1,70.5,74.1,0,0,0,17.2,113.9,1013.4,31.5,7.4,207.2,18,8,2020-01-02T06:24:32,2020-01-02T17:55:24,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AT041,78970011634,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",03/01/2020,84.2,71.6,77,90.1,71.6,78,70.2,80.6,0.118,100,4.17,13.9,120.9,1015.2,37.8,6.6,187.9,16.1,8,2020-01-03T06:24:55,2020-01-03T17:55:56,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"AT041,78970011634,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",04/01/2020,87.8,68,77.1,92.2,68,78.8,68.9,77.8,0,0,0,13.9,112.7,1015.2,30.7,7.6,111,9.9,5,2020-01-04T06:25:17,2020-01-04T17:56:29,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AT041,78970011634,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",05/01/2020,87.8,71.6,78.2,92.7,71.6,79.6,69.6,76.5,0.039,100,8.33,10.3,103.3,1013.6,38.8,7,100.4,8.7,5,2020-01-05T06:25:39,2020-01-05T17:57:02,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"AT041,78970011634,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",06/01/2020,86,69.8,76.9,91.9,69.8,78.5,70.4,81.2,0.008,100,4.17,11.4,102.3,1012.7,36.2,6.8,101.7,8.8,6,2020-01-06T06:26:00,2020-01-06T17:57:34,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"AT041,78970011634,TTPP,remote"
"Port of Spain, Trinidad, Trinidad And Tobago",07/01/2020,87.8,73.4,79.2,96,73.4,81.2,70.5,76.2,0,0,0,15,113.5,1014.1,41.4,7.2,126.1,11,5,2020-01-07T06:26:20,2020-01-07T17:58:07,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AT041,78970011634,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",08/01/2020,87.8,73.2,80.2,93.5,73.2,82.8,70.8,74.2,0,0,0,17.2,107,1015.1,33.2,6.7,124.1,10.9,5,2020-01-08T06:26:39,2020-01-08T17:58:40,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AT041,78970011634,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",09/01/2020,84.2,71.6,78.2,89.2,71.6,79.5,70.5,78,0.004,100,4.17,17.2,101.7,1014.8,35.5,6.4,116.1,10.1,5,2020-01-09T06:26:57,2020-01-09T17:59:12,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"AT041,78970011634,TTPP"
"Port of Spain, Trinidad, Trinidad And Tobago",10/01/2020,86,73.4,77.4,91.9,73.4,78.6,70.6,80,0.229,100,12.5,24.2,104.7,1014.7,49.7,6.6,116.7,10.1,4,2020-01-10T06:27:14,2020-01-10T17:59:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"AT041,78970011634,TTPP"
