,datetime,humidity,precipcover,windspeed,cloudcover,visibility,location,sunrise_time,sunset_time,Port of Spain precip mm,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
0,2000-01-01,78.0,0.0,15.0,43.8,7.6,Port of Spain,06:24:06,17:54:48,9.779,31.1,22.1,26.7,34.7,22.1,28.2,22.2
1,2000-01-02,83.7,0.0,16.1,57.9,8.2,Port of Spain,06:24:30,17:55:20,2.1018499999999998,31.1,21.8,25.7,35.6,21.8,26.9,22.5
2,2000-01-03,78.6,0.0,12.8,73.2,9.5,Port of Spain,06:24:53,17:55:53,4.9022,32.1,23.1,26.3,35.0,23.1,27.3,22.0
3,2000-01-04,84.9,0.0,13.9,77.7,9.7,Port of Spain,06:25:16,17:56:26,10.25525,29.1,21.8,24.5,32.1,21.8,25.1,21.6
4,2000-01-05,93.0,0.0,11.4,76.0,8.2,Port of Spain,06:25:37,17:56:59,0.6985,27.3,22.8,24.5,30.4,22.8,24.7,23.3
5,2000-01-06,86.7,0.0,18.3,80.0,6.8,Port of Spain,06:25:58,17:57:31,0.5016499999999999,31.1,23.1,25.5,35.6,23.1,26.5,23.0
6,2000-01-07,83.4,0.0,15.0,64.2,7.4,Port of Spain,06:26:18,17:58:04,2.80035,30.8,23.1,25.2,33.8,23.1,25.8,21.9
7,2000-01-08,75.8,0.0,13.9,42.2,8.4,Port of Spain,06:26:38,17:58:36,6.223,31.1,22.7,26.5,33.8,22.7,27.6,21.4
8,2000-01-09,82.3,0.0,16.1,51.4,7.1,Port of Spain,06:26:56,17:59:09,0.7493,31.1,22.1,25.8,35.2,22.1,27.4,22.4
9,2000-01-10,78.8,0.0,18.3,42.4,8.5,Port of Spain,06:27:13,17:59:41,3.1241999999999996,31.3,23.1,26.4,35.4,23.1,27.8,22.2
10,2000-01-11,79.1,0.0,17.2,51.6,7.7,Port of Spain,06:27:30,18:00:13,11.995149999999999,31.1,23.1,26.7,35.6,23.1,28.3,22.6
11,2000-01-12,62.2,0.0,13.9,30.6,9.7,Port of Spain,06:27:45,18:00:45,4.699,32.1,23.1,28.1,33.0,23.1,28.9,19.7
12,2000-01-13,79.9,0.0,15.0,65.0,8.6,Port of Spain,06:28:00,18:01:16,8.909049999999999,30.1,22.8,25.1,33.4,22.8,25.7,21.2
13,2000-01-14,73.2,0.0,15.0,48.5,10.2,Port of Spain,06:28:14,18:01:47,2.47015,31.1,21.8,26.2,32.8,21.8,27.1,20.7
14,2000-01-15,75.6,0.0,12.8,30.0,15.2,Port of Spain,06:28:27,18:02:18,4.629149999999999,32.1,20.1,25.4,34.3,20.1,26.2,20.2
15,2000-01-16,80.0,0.0,11.4,57.3,11.6,Port of Spain,06:28:38,18:02:49,9.772649999999999,29.2,20.8,24.7,32.8,20.8,25.6,20.7
16,2000-01-17,85.8,0.0,11.4,79.6,6.6,Port of Spain,06:28:49,18:03:19,0.24764999999999998,28.3,20.7,24.2,30.2,20.7,24.8,21.4
17,2000-01-18,80.8,0.0,13.9,57.3,8.7,Port of Spain,06:28:59,18:03:49,2.2733,31.1,22.1,25.9,34.4,22.1,27.2,22.1
18,2000-01-19,94.1,0.0,0.0,30.0,6.8,Port of Spain,06:29:08,18:04:18,3.8227,23.1,23.1,23.1,23.1,23.1,23.1,22.1
19,2000-01-21,84.0,0.0,10.3,33.3,8.3,Port of Spain,06:29:22,18:05:15,4.826,27.1,23.1,24.8,29.3,23.1,25.2,21.8
20,2000-01-22,77.9,0.0,16.1,42.9,8.2,Port of Spain,06:29:28,18:05:43,4.75615,31.3,21.6,26.4,34.7,21.6,27.9,21.9
21,2000-01-23,79.4,0.0,21.9,70.9,7.7,Port of Spain,06:29:32,18:06:11,0.7746999999999999,31.1,23.1,26.6,34.7,23.1,27.9,22.4
22,2000-01-24,89.3,0.0,15.0,85.9,6.0,Port of Spain,06:29:36,18:06:38,21.77415,28.1,22.8,24.4,30.8,22.8,24.8,22.5
23,2000-01-25,83.8,0.0,13.9,40.0,8.5,Port of Spain,06:29:38,18:07:04,8.274049999999999,30.3,22.1,25.4,34.2,22.1,26.6,22.3
24,2000-01-26,80.4,0.0,17.2,50.4,8.9,Port of Spain,06:29:40,18:07:30,1.8986499999999997,30.7,22.1,26.2,34.0,22.1,27.6,22.3
25,2000-01-27,85.4,0.0,17.2,42.5,7.4,Port of Spain,06:29:40,18:07:56,0.8763000000000001,30.1,22.8,24.9,33.4,22.8,25.7,22.1
26,2000-01-29,73.6,0.0,16.1,74.5,10.0,Port of Spain,06:29:38,18:08:45,0.24764999999999998,31.1,22.1,25.9,31.8,22.1,26.4,20.3
