name,datetime,humidity,precip,windspeed,cloudcover,visibility,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c,precip_chance
Arima,2005-01-01,92.8,33.6296,10.3,87.1,6.4,29.0,24.1,25.4,34.6,24.1,26.2,24.1,1
Arima,2005-01-02,78.9,6.172199999999999,13.8,64.6,7.8,32.0,23.1,26.6,34.2,23.1,27.5,22.1,1
Arima,2005-01-03,81.5,0.4826,8.1,54.8,8.4,31.8,22.1,25.5,34.0,22.1,26.4,21.8,1
Arima,2005-01-04,93.2,12.1666,11.4,83.1,6.8,29.2,23.1,24.6,33.7,23.1,25.1,23.3,1
Arima,2005-01-05,83.2,0.7874,4.7,77.9,16.8,31.3,23.7,25.1,33.4,23.7,25.3,21.8,1
Arima,2005-01-06,83.2,2.1590000000000003,10.3,92.5,9.8,30.2,24.6,26.6,34.7,24.6,27.7,23.3,1
Arima,2005-01-07,90.5,10.795,16.1,95.0,4.4,27.1,23.1,24.9,30.4,23.1,25.7,23.2,1
Arima,2005-01-08,81.3,8.813799999999999,10.3,90.0,10.0,29.2,24.1,26.4,32.7,24.1,28.0,22.7,1
Arima,2005-01-09,78.5,0.0,12.8,81.6,9.5,30.1,23.7,27.3,34.2,23.7,29.5,23.1,0
Arima,2005-01-10,90.7,2.0066,9.2,68.0,7.2,29.3,23.9,25.6,34.2,23.9,26.6,23.9,1
Arima,2005-01-11,90.9,11.1252,10.3,76.4,8.8,31.6,23.9,25.4,37.2,23.9,26.1,23.6,1
Arima,2005-01-12,87.8,0.0,10.3,35.5,10.0,31.3,24.1,26.1,37.4,24.1,27.2,23.8,0
Arima,2005-01-13,86.9,11.7856,13.8,82.6,4.5,29.3,24.6,26.9,34.9,24.6,29.6,24.4,1
Arima,2005-01-14,84.0,9.271,16.0,88.4,6.3,30.9,25.1,27.1,36.6,25.1,29.2,24.1,1
Arima,2005-01-15,90.6,20.32,16.1,91.1,5.2,29.1,23.1,25.4,33.8,23.1,26.3,23.7,1
Arima,2005-01-16,95.7,32.9184,5.9,66.7,8.9,25.2,23.2,24.2,25.2,23.2,24.2,23.4,1
Arima,2005-01-17,97.4,0.0508,0.1,35.7,8.6,24.8,21.9,22.4,24.8,21.9,22.4,22.1,1
Arima,2005-01-18,71.2,0.127,13.8,90.0,9.4,31.6,26.8,28.9,36.1,29.2,32.5,23.0,1
Arima,2005-01-19,84.6,10.1092,11.4,90.0,7.0,28.0,24.1,25.8,32.8,24.1,26.5,22.9,1
Arima,2005-01-20,78.5,0.0508,12.8,80.5,9.8,33.0,22.9,26.9,37.7,22.9,28.4,22.6,1
Arima,2005-01-21,88.8,15.798799999999998,16.1,91.2,9.6,26.1,24.2,25.2,26.1,24.2,25.2,23.2,1
Arima,2005-01-22,92.9,7.416799999999999,10.3,89.7,8.2,27.6,23.9,25.1,31.1,23.9,25.8,23.8,1
Arima,2005-01-23,75.5,1.9812,18.3,65.7,11.2,30.8,24.7,28.0,35.1,24.7,30.3,23.1,1
Arima,2005-01-24,74.3,0.3048,13.9,64.5,9.2,30.6,22.9,27.7,34.6,22.9,29.9,22.6,1
Arima,2005-01-25,78.6,0.0,11.4,45.0,10.6,30.6,21.7,25.1,32.4,21.7,25.6,20.8,0
Arima,2005-01-26,86.2,0.0,16.1,31.2,12.3,31.3,21.1,23.7,34.0,21.1,24.1,20.9,0
Arima,2005-01-27,70.9,0.0,17.3,48.5,8.8,31.3,22.1,27.5,34.6,22.1,29.3,21.4,0
Arima,2005-01-28,65.5,0.0,11.4,68.7,8.3,32.1,24.7,28.8,35.6,24.7,31.3,21.6,0
Arima,2005-01-29,74.8,0.0,10.3,62.4,12.1,30.8,22.7,26.2,32.8,22.7,26.9,21.0,0
Arima,2005-01-30,78.1,0.4826,10.3,63.9,9.8,32.3,22.1,25.5,33.9,22.1,26.1,20.8,1
Arima,2005-01-31,69.2,0.0,10.3,45.7,11.5,33.0,20.1,26.4,33.5,20.1,26.9,19.3,0
Arima,2005-02-01,77.1,0.0,11.4,34.8,9.5,33.0,19.1,24.5,34.7,19.1,25.1,19.6,0
Arima,2005-02-02,72.5,0.0,11.4,36.0,11.0,32.1,20.1,25.8,33.0,20.1,26.4,19.6,0
Arima,2005-02-03,77.8,0.0,6.9,83.4,9.3,30.1,21.3,25.3,32.0,21.3,26.3,20.9,0
Arima,2005-02-04,77.9,0.0,9.2,75.7,12.8,31.1,20.1,23.9,32.1,20.1,24.2,19.3,0
Arima,2005-02-05,77.8,0.0,15.0,79.8,9.1,30.6,22.7,26.4,34.2,22.7,27.8,21.9,0
Arima,2005-02-06,65.9,0.9906,13.8,47.3,10.4,31.3,25.3,29.9,35.6,25.3,33.3,22.6,1
Arima,2005-02-10,77.7,0.0,15.7,83.3,8.7,30.7,25.7,27.8,34.6,25.7,30.2,23.3,0
Arima,2005-02-11,69.8,0.0,12.8,77.5,9.5,33.1,23.7,29.2,38.2,23.7,31.8,22.7,0
Arima,2005-02-12,75.6,0.0,11.4,73.2,10.3,32.3,23.1,26.8,34.3,23.1,27.7,21.6,0
Arima,2005-02-13,70.7,0.0,11.5,77.4,9.5,32.0,24.2,28.7,35.9,24.2,30.5,22.3,0
Arima,2005-02-14,77.5,0.7874,13.9,73.9,11.5,30.8,23.6,26.7,34.2,23.6,27.9,22.2,1
